session_id,user_id,item_id,timeframe,eventdate,year,month,date,recommand,buy
1,,81766,526309,2023-05-09,2023,05,09,0,0
1,,31331,1031018,2023-05-09,2023,05,09,0,0
1,,32118,243569,2023-05-09,2023,05,09,1,0
1,,9654,75848,2023-05-09,2023,05,09,0,1
1,,32627,1112408,2023-05-09,2023,05,09,0,0
1,,33043,173912,2023-05-09,2023,05,09,0,0
1,,12352,329870,2023-05-09,2023,05,09,0,0
1,,35077,390072,2023-05-09,2023,05,09,0,0
1,,36118,487369,2023-05-09,2023,05,09,1,0
1,,129055,991416,2023-05-09,2023,05,09,1,0
2,,3147,883039,2023-05-09,2023,05,09,0,0
2,,32754,359839,2023-05-09,2023,05,09,0,0
2,,100747,38317,2023-05-09,2023,05,09,0,0
2,,32971,182759,2023-05-09,2023,05,09,0,0
2,,10657,387340,2023-05-09,2023,05,09,1,1
2,,35606,756335,2023-05-09,2023,05,09,0,0
2,,35606,53684,2023-05-09,2023,05,09,0,0
2,,36246,332000,2023-05-09,2023,05,09,1,0
2,,36246,722492,2023-05-09,2023,05,09,0,0
2,,196110,1045018,2023-05-09,2023,05,09,0,0
4,,13931,21812,2023-05-09,2023,05,09,0,0
5,,5140,22430,2023-05-09,2023,05,09,0,0
5,,35472,121036,2023-05-09,2023,05,09,0,0
6,,73191,53123,2023-05-09,2023,05,09,1,1
6,,382683,88337,2023-05-09,2023,05,09,0,0
7,,59248,38806,2023-05-09,2023,05,09,0,1
7,,59248,328086,2023-05-09,2023,05,09,1,0
7,,9416,271202,2023-05-09,2023,05,09,0,0
7,,40639,14808,2023-05-09,2023,05,09,0,0
7,,40639,432980,2023-05-09,2023,05,09,0,0
7,,40639,161072,2023-05-09,2023,05,09,1,0
7,,73816,69100,2023-05-09,2023,05,09,0,0
7,,32742,186920,2023-05-09,2023,05,09,0,0
7,,79626,358743,2023-05-09,2023,05,09,0,0
7,,388131,583388,2023-05-09,2023,05,09,0,1
8,,11542,10067,2023-04-10,2023,04,10,0,0
10,,69597,193275,2023-04-05,2023,04,05,0,0
10,,5103,5639,2023-04-05,2023,04,05,0,0
12,,4168,18252,2023-04-05,2023,04,05,0,0
12,,79898,204561,2023-04-05,2023,04,05,0,0
12,,79898,463266,2023-04-05,2023,04,05,0,0
13,,3680,144850,2023-04-05,2023,04,05,0,0
13,,34797,217117,2023-04-05,2023,04,05,1,1
13,,14784,24256,2023-04-05,2023,04,05,0,1
14,,36156,24366,2023-04-05,2023,04,05,0,0
14,,13931,6581,2023-04-05,2023,04,05,0,0
15,,135099,135386,2023-04-05,2023,04,05,0,0
15,,151445,318401,2023-04-05,2023,04,05,0,0
15,,29592,276284,2023-04-05,2023,04,05,1,0
15,,19726,77423,2023-04-05,2023,04,05,0,0
15,,19726,37837,2023-04-05,2023,04,05,0,0
15,,58223,104426,2023-04-05,2023,04,05,0,1
17,,51353,385045,2023-04-09,2023,04,09,0,0
17,,240186,528277,2023-04-09,2023,04,09,0,0
